sortorder,code,title,ExplanatoryNoteInclusion,ExplanatoryNoteExclusion
4740,"N","Здравоохранение и социальные услуги","См. пояснения к подразделу 85.",
4730,"8090","Прочее образование","В эту подгруппу входят специальные виды обучения, в основном для взрослых, отличные от системы общего образования, включенной в группы 801-803.
Эта подгруппа включает:
- образование для взрослых, то есть образование для людей, которые не обучаются в системе регулярного школьного образования или в системе высшего образования. Обучение может проводиться в дневное время или на вечерних занятиях в школах или в специальных заведениях, предусмотренных для взрослых: школы автовождения, летные школы, художественные школы, кулинарные школы и т. п.
- программы обучения могут включать как общеобразовательные, так и специальные предметы
- образование, не подразделенное по ступеням
Обучение может проводиться в классных комнатах или по радио или телевидению, через Интернет или заочно.","Эта подгруппа не включает:
- высшее образование, см. 8030
- деятельность школ танца, см. 9219
- программы обучения спортивным дисциплинам и играм, см. 9241"
4720,"809","Прочее образование",,
4710,"8030","Высшее образование","Эта подгруппа включает:
- первый, второй и третий этапы высшего образования:
* образование выше среднего, не ведущее к получению университетской степени или ее эквивалента
* образование выше среднего, ведущее к получению университетской степени или ее эквивалента
На этой ступени предлагаются самые разнообразные тематические программы, часть которых делает больший акцент на теоретических, часть - на практических аспектах обучения.
Обучение может проводиться в классных комнатах или по радио или телевидению, через Интернет или заочно.

Эта подгруппа также включает:
- специальное образование данной ступени для учащихся, страдающих физическими или умственными недостатками",
4700,"803","Высшее образование",,
4690,"8022","Техническое и профессиональное среднее образование","Эта подгруппа включает:
- техническое и профессиональное образование более низкой ступени, чем высшее образование, как это определено в 8030
Как правило, в программах уделяется основное внимание предметной специализации и преподаванию как теоретических основ, так и практических навыков, обычно связанных с нынешним или будущим родом занятий. Цель программы может варьироваться от подготовки к работе общего профиля до подготовки к высокоспециализированным видам работы.
Обучение может проводиться в классных комнатах или по радио или телевидению, через Интернет или заочно.

Эта подгруппа также включает:
- специальное образование данной ступени для учащихся, страдающих физическими или умственными недостатками","Эта подгруппа не включает:
- техническое и профессиональное образование выше второй ступени или на уровне высшего учебного заведения, см. 8030"
4680,"8021","Общее среднее образование","Эта подгруппа включает:
- общее школьное образование на первом этапе среднего образования, в той или иной мере соответствующее периоду обязательного школьного обучения
- общее школьное образование на втором этапе среднего образования, в принципе открывающее доступ к высшему образованию
Обучение может проводиться в классных комнатах или по радио или телевидению, через Интернет или заочно.
Предметная специализация на этой ступени нередко начинает влиять на приобретаемый в процессе обучения опыт даже тех учащихся, кто следует общей программе. Такие программы рассчитаны на то, чтобы подготовить учащихся либо к получению технического и профессионального образования, либо к поступлению в высшее учебное заведение, не обусловливая это какой-либо специальной подготовкой по какому-либо предмету.

Эта подгруппа также включает:
- специальное образование данной ступени для учащихся, страдающих физическими или умственными недостатками","Эта подгруппа не включает:
- образование для взрослых, как определено в 8090"
4670,"802","Среднее образование",,
4660,"8010","Начальное образование","Эта подгруппа включает:
- дошкольное образование (образование, предшествующее первой ступени)
- начальное образование (образование первой ступени)
Обучение может проводиться в классных комнатах или по радио или телевидению, через Интернет или заочно.

Эта подгруппа также включает:
- специальное образование данной ступени для учащихся, страдающих физическими или умственными недостатками
- предоставление программ обучения грамоте для взрослых","Эта подгруппа не включает:
- деятельность по дневному уходу за детьми, см. 8532"
4650,"801","Начальное образование",,
4640,"80","Образование","Этот подраздел включает государственное, а также частное образование любой ступени и обучение любой профессии, устным или письменным способом, а также по радио и телевидению или с использованием других средств связи. Включено образование, предоставляемое различными учреждениями, входящими в систему регулярного школьного образования различного уровня, а также получение образования взрослыми людьми, программы обучения грамоте и т. п. Также включены военные школы и академии, тюремные школы и т. п. соответствующего уровня.
На каждой ступени начального образования соответствующие подгруппы включают специальное образование для людей с физическими или умственными недостатками.
Разбивка на категории в данном подразделе основывается на ступенях образования, предложенных в МСКО 1997.","Этот подраздел не включает:
- обучение, направленное главным образом на организацию отдыха, например обучение игре в бридж или гольф, см. подраздел 92"
4630,"M","Образование","См. пояснения к подразделу 80.",
4620,"7530","Деятельность в области обязательного социального страхования","Эта подгруппа включает:
- финансирование предоставляемых правительством программ социального страхования и руководство ими:
* страхование от болезни, несчастного случая и безработицы
* пенсии по случаю выхода в отставку
* программы по компенсации потери дохода из-за рождения ребенка, временной нетрудоспособности, вдовства и т. п.","Эта подгруппа не включает:
- необязательное социальное страхование, см. 6602
- предоставление услуг по социальному обеспечению и прочих социальных услуг, см. 8531, 8532"
4610,"753","Деятельность в области обязательного социального страхования",,
