sortorder,code,title,ExplanatoryNoteInclusion,ExplanatoryNoteExclusion
5340,"9900","Экстерриториальные организации и органы","Эта подгруппа включает:
- деятельность международных организаций, таких как Организация Объединенных Наций и специализированные учреждения системы Организации Объединенных Наций, региональные объединения и т. п., Международный валютный фонд, Всемирный банк, Всемирная таможенная организация, Организация экономического сотрудничества и развития, Организация стран - экспортеров нефти, Европейские сообщества, Европейская ассоциация свободной торговли и т. п.

Эта подгруппа также включает: 
- деятельность дипломатических представительств и консульств в тех случаях, когда она определяется страной пребывания, а не страной, которую эти организации представляют","Эта подгруппа не включает:
управление дипломатическими представительствами и консульствами, размещенными за границей или при отделениях международных организаций, и их функционирование, см. 7521"
5330,"990","Экстерриториальные организации и органы",,
5320,"99","Экстерриториальные организации и органы","См. пояснения к подгруппе 9900.",
5310,"Q","Экстерриториальные организации и органы","Этот раздел позволяет наемным работникам экстерриториальных организаций указывать деятельность их работодателя при проведении переписи или социальных исследований, несмотря на то что работодатель считается находящимся за пределами экономического пространства страны (но в пределах ее географической территории).",
5300,"9700","Недифференцированная деятельность частных домашних хозяйств по производству услуг для собственного использования","Эта подгруппа включает недифференцированную деятельность частных домашних хозяйств по предоставлению услуг для собственного потребления. Эти услуги включают приготовление пищи, обучение, уход за членами частного домашнего хозяйства, а также другие услуги, предоставляемые в частном домашнем хозяйстве для собственного потребления. На практике, если частные домашние хозяйства занимаются также производством множества товаров для собственных нужд, их следует классифицировать по категории недифференцированной товаропроизводящей деятельности частных домашних хозяйств для собственного использования.",
5290,"970","Недифференцированная деятельность частных домашних хозяйств по производству услуг для собственного использования",,
5280,"97","Недифференцированная деятельность частных домашних хозяйств по производству услуг для собственного использования","См. пояснения к подгруппе 9700.",
5270,"9600","Недифференцированная товаропроизводящая деятельность частных домашних хозяйств для собственного использования","Эта подгруппа включает недифференцированную деятельность по производству товаров для собственных нужд в частных домашних хозяйствах, иначе говоря, различные виды деятельности, осуществляемые домашними хозяйствами, в результате которых производятся товары, предназначенные для собственного потребления. Данные виды деятельности включают охоту и сбор даров природы, ведение фермерского хозяйства, строительство жилища и изготовление одежды и других товаров, производимых в пределах частного домашнего хозяйства для собственных нужд. Если частные домашние хозяйства занимаются также производством товаров, реализуемых на рынке, по классификации МСОК их следует отнести к соответствующей товаропроизводящей отрасли промышленности. Если основным видом деятельности таких хозяйств является производство определенных товаров для собственных нужд, то они классифицируются по МСОК в соответствующей категории товаропроизводящей отрасли промышленности.",
5260,"960","Недифференцированная товаропроизводящая деятельность частных домашних хозяйств для собственного использования",,
5250,"96","Недифференцированная товаропроизводящая деятельность частных домашних хозяйств для собственного использования","См. пояснения к подгруппе 9600.",
5240,"9500","Деятельность частных домашних хозяйств в качестве работодателей для домашней прислуги","Эта подгруппа включает деятельность частных домашних хозяйств в качестве работодателей для домашней прислуги, такой как горничные, повара, официанты, слуги, камердинеры, прачки, садовники, привратники, конюхи, шоферы, дворецкие, гувернантки, приходящие няни, репетиторы, секретари и т. п. Это позволяет наемным работникам при переписи или социальных исследованиях указывать вид деятельности их работодателя, несмотря на то что работодатель является частным лицом.
Продукт, изготовленный для собственного потребления, считается нерыночным и учитывается в национальных счетах в соответствии с затратами на содержание персонала. Эти виды услуг не могут предоставляться компаниями.",
5230,"950","Деятельность частных домашних хозяйств в качестве работодателей для домашней прислуги",,
5220,"95","Деятельность частных домашних хозяйств в качестве работодателей для домашней прислуги","См. пояснения к подгруппе 9500.",
5210,"P","Деятельность частных домашних хозяйств в качестве работодателей и недифференцированная производственная деятельность частных домашних хозяйств","Этот раздел включает деятельность частных домашних хозяйств, которые являются потребителями производимых ими продуктов. Эта деятельность может осуществляться посредством найма домашней прислуги (подраздел 95) или производства товаров или услуг для собственного пользования (подразделы 96 и 97).",
5200,"9309","Предоставление прочих услуг, не включенных в другие категории","Эта подгруппа включает:
- деятельность турецких бань, саун и парных отделений бань, соляриев, салонов для сбавления веса и похудания, массажных салонов и т. п.
- деятельность астрологов и спиритов
- социальные услуги, такие как предоставление сопровождения, службы знакомств, услуги брачных бюро
- услуги по уходу за домашними животными, такие как содержание, уход за шерстью, присмотр в отсутствие хозяина, выучка животных
- услуги организаций, занимающихся исследованием родословных
- услуги чистильщиков обуви, носильщиков, персонала по парковке автомобилей и т. п.
- автоматы самообслуживания, действующие при опускании монеты (фотокабины, весы, устройства для измерения артериального давления, автоматические камеры хранения и т. п.)","Эта подгруппа не включает:
- услуги по предоставлению телефонной связи через уличные телефоны-автоматы, см. 6420
- ветеринарные услуги, см. 8520
- деятельность оздоровительных клубов, см. 9241"
5190,"9303","Организация похорон и связанные с этим услуги","Эта подгруппа включает:
- деятельность, связанную с захоронением и кремацией трупов людей или животных, и связанные с этим услуги:
* подготовку покойников к захоронению или кремации, предоставление услуг по бальзамированию и услуг гробовщиков
* предоставление услуг, связанных с захоронением или кремацией
* аренду оборудованного помещения в салонах для прощания с покойными
- аренду или продажу могил
- содержание могил и мавзолеев и уход за ними","Эта подгруппа не включает:
- деятельность, связанную с религиозными погребальными обрядами, см. 9191"
5180,"9302","Услуги парикмахерских и прочие услуги косметических салонов","Эта подгруппа включает:
- мытье волос, подравнивание и стрижку, укладку, окраску, подцвечивание, завивку, распрямление и аналогичные работы, выполняемые для мужчин и женщин 
- бритье и подравнивание бороды
- массаж лица, маникюр и педикюр, макияж и т. п.","Эта подгруппа не включает:
- изготовление париков, см. 3699"
5170,"9301","Стирка и (сухая) чистка текстильных изделий и изделий из меха","Эта подгруппа включает:
- стирку, сухую чистку, глажение и т. п. всех видов одежды (включая меховую) и текстильных изделий, производимые механическим оборудованием, вручную или путем самообслуживания с помощью действующих при опускании монеты машин для широкой публики или для такой клиентуры, как промышленные или торговые предприятия
- сбор белья для стирки и доставку
- мокрую чистку и мытье ковров и ковриков, а также чистку занавесей и портьер, в помещениях у клиентов или нет
- деятельность прачечных по обеспечению клиентов бельем, рабочей форменной одеждой и сопутствующими изделиями
- услуги по снабжению пеленками

Эта подгруппа также включает:
- ремонт и мелкие переделки одежды или других текстильных изделий, если они производятся в связи с чисткой","Эта подгруппа не включает:
- ремонт и мелкие переделки одежды и т. п. как самостоятельный вид деятельности, см. 5260
- прокат одежды, кроме рабочей форменной одежды, даже в том случае, когда чистка этих изделий является неотъемлемой частью такой деятельности, см. 7130"
5160,"930","Предоставление прочих видов услуг",,
5150,"93","Предоставление прочих видов услуг","Этот подраздел охватывает все виды услуг, не включенные в другие категории.",
5140,"9249","Прочая деятельность по организации отдыха и развлечений","Эта подгруппа включает деятельность, относящуюся к организации отдыха и развлечений, не включенную в другие подгруппы данного подраздела:
- деятельность парков отдыха и пляжей, в том числе прокат оборудования, такого как раздевальни на пляже, запирающиеся шкафчики, кресла и т. п.
- эксплуатацию мест для стоянки прогулочного транспорта, например пристаней для яхт
- деятельность, связанную с подбором актерского состава для съемки кинофильмов, телевизионных передач или театральных постановок
- деятельность, связанную с азартными играми и ставками на пари:
* продажу лотерейных билетов
* работу (эксплуатацию) действующих при опускании монеты денежных автоматов с возможностью случайного выигрыша 
* работу (эксплуатацию) действующих при опускании монеты развлекательных игровых автоматов
* организацию круизов плавучих казино
* управление веб-сайтами с виртуальными азартными играми 
- организацию ярмарок и шоу развлекательного характера

Эта подгруппа также включает:
- прокат оборудования для отдыха и развлечений в качестве неотъемлемой части организации отдыха","Эта подгруппа не включает:
- деятельность самостоятельных агентов или агентств по подбору артистов и творческих работников для театров, см. 7499
- прочие виды деятельности в области организации развлечений, например постановку цирковых номеров или организацию работы танцевальных залов, см. 9219"
5130,"9241","Спортивная деятельность","Эта подгруппа включает:
- функционирование сооружений для организации и проведения спортивных мероприятий на открытом воздухе или в помещении (открытых, закрытых или под козырьком, с сидениями для зрителей или без сидений):
* стадионов для футбола, хоккея на траве, игры в крикет и бейсбол 
* стадионов для занятий легкой атлетикой
* плавательных бассейнов и водных стадионов
* площадок для хоккея на льду
* боксерских рингов
* полей для игры в гольф
* площадок и стадионов для соревнований по зимним видам спорта
- организацию и проведение на открытом воздухе или в помещении спортивных мероприятий для профессионалов или любителей обществами и организациями, имеющими или не имеющими собственных помещений для проведения мероприятий подобного рода:
* футбольными клубами, клубами любителей игры в боулинг, плавательными клубами, гольф-клубами, клубами любителей бокса, борьбы, оздоровительными клубами, клубами культуристов, зимних видов спорта, шахматными, шашечными клубами, клубами любителей игры в домино или в карты, легкоатлетическими, стрелковыми клубами и т. п.
- деятельность по содействию проведению и организации спортивных мероприятий
- деятельность самостоятельно занятых спортсменов и атлетов, судей, секундантов, инструкторов, педагогов, тренеров и т. п.
- деятельность спортивных школ и школ спортивных игр
- деятельность по разведению скаковых лошадей, содержание псарен и гаражей
- деятельность конноспортивных школ
- функционирование заповедников для спортивного рыболовства
- вспомогательная деятельность по организации спортивной охоты и спортивного рыболовства
- предоставление соответствующих услуг","Эта подгруппа не включает:
- прокат спортивного снаряжения, см. 7130
- деятельность парков и пляжей, см. 9249"
5120,"924","Спортивная деятельность и прочая деятельность по организации развлечений и отдыха",,
5110,"9233","Деятельность ботанических садов, зоопарков и заповедников","Эта подгруппа включает:
- функционирование ботанических садов и зоопарков, включая зоопарки для детей
- функционирование природных заповедников, включая деятельность по охране дикой природы и т. п.",
5100,"9232","Деятельность музеев и охрана исторических мест и зданий","Эта подгруппа включает:
- деятельность самых разнообразных музеев:
* художественных музеев, музеев ювелирных изделий, мебели, костюмов, керамики, изделий из серебра
* музеев естественной истории, науки и техники, исторических музеев, включая венные музеи и исторические дома-музеи
* других специализированных музеев
* музеев на открытом воздухе
- функционирование и охрану исторических мест и зданий",
5090,"9231","Деятельность библиотек и архивов","Эта подгруппа включает:
- услуги, связанные с документацией и информацией, предоставляемые библиотеками всех видов, деятельность читальных залов, кабинетов прослушивания записей и демонстрационных залов, государственных архивов, предоставляющих услуги широкой публике или особому контингенту пользователей, таким как студенты, ученые, сотрудники и члены организаций:
* составление коллекций, специализированных или неспециализированных
* составление каталогов коллекций
* предоставление во временное пользование и хранение книг, карт, периодических изданий, кинопленок, грампластинок, видеокассет, произведений искусства и т. п.
* подбор информации в соответствии с информационными запросами и т. п.","Эта подгруппа не включает:
- прокат видеофильмов, см. 7130 
- деятельность по созданию банков данных, см. 7240"
5080,"923","Деятельность библиотек, архивов, музеев и прочая деятельность в области культуры",,
5070,"9220","Деятельность агентств печати","Эта подгруппа включает:
- деятельность синдикатов новостей и агентств новостей, охватывающую представление новостей, иллюстративных материалов и статей для распространения в средствах массовой информации
- деятельность независимых журналистов",
5060,"922","Деятельность агентств печати",,
5050,"9219","Прочая развлекательная деятельность, не включенная в другие категории","Эта подгруппа включает:
- организацию других видов развлечений, не включенных в другие категории:
* деятельность танцевальных залов и дискотек
* деятельность школ танцев и преподавателей танца
* цирковые представления
* деятельность парков отдыха и ярмарок аттракционов
* представления кукольных театров, родео, деятельность тиров, фейерверки, модели железных дорог и т. п.","Эта подгруппа не включает:
- прочую деятельность по организации развлечений, см. 9249"
5040,"9214","Деятельность в областях драматического искусства, музыки и прочих видов искусства","Эта подгруппа включает:
- производство театральных представлений, концертов, оперных и танцевальных постановок и других сценических представлений:
* деятельность групп или компаний, оркестров или джазовых групп
* деятельность отдельных артистов, таких как драматические актеры, дирижеры, музыканты, авторы, лекторы или докладчики, скульпторы, художники, мультипликаторы, гравировщики, офортисты, художники-оформители, строители и т. п.
- эксплуатацию концертных и театральных залов и других помещений для демонстрации художественных произведений и исполнительского искусства
- работу агентств по продаже билетов
- реставрацию произведений искусства, таких как произведения живописи и т. п.","Эта подгруппа не включает:
- реставрацию мебели, см. 3610
- реставрацию органов и других старинных музыкальных инструментов, см. 3692
- реставрацию зданий, см. подраздел 45
- деятельность самостоятельных театральных или художественных агентов и агентств, см. 7499
- эксплуатацию кинотеатров, см. 9212
- деятельность по подбору артистов, см. 9249"
5030,"9213","Деятельность в областях радио и телевидения","Эта подгруппа включает:
- производство радио- и телевизионных программ прямого эфира или записанных на магнитной ленте в сочетании с вещанием или без вещания
- вещание радио- и телевизионных программ

Подготавливаемые и транслируемые программы могут предназначаться для развлечения, продвижения товаров и идей, целей общего образования или обучения или для распространения новостной информации, такой как спортивные новости, прогнозы погоды и т. п. Результатом подготовки программ обычно является получение оригинала, который может быть продан, предоставлен напрокат или направлен на хранение для использования в целях трансляции или повторной трансляции.","Эта подгруппа не включает:
- радио- и телевизионные передачи по кабельным сетям, см. 6420
- радио- и телевизионные передачи по релейным линиям или через спутниковые линии связи, см. 6420
- агентства печати, см. 9220"
5020,"9212","Демонстрация кинофильмов","Эта подгруппа включает:
- демонстрацию кинофильмов или видеофильмов в кинотеатрах, на открытом воздухе или в других сооружениях, предназначенных для показа фильмов

Эта подгруппа также включает:
- деятельность киноклубов",
5010,"9211","Производство и распространение кино- и видеофильмов","Эта подгруппа включает:
- производство игровых и неигровых кинофильмов, отснятых на кинопленку, на видеоленту или диск для прямой демонстрации в кинотеатрах или для показа по телевидению:
* производство на киностудиях или в специальных лабораториях по созданию анимационных или мультипликационных фильмов полнометражных, документальных, короткометражных фильмов и т. п., предназначенных для развлечения публики, рекламы, образовательных целей, обучения или информирования о новостях
* обработку пленки с кинофильмами
* выпуск пленки с кинофильмами
- вспомогательные виды деятельности, такие как монтаж, редактура, дубляж фильмов и т. п.
- деятельность звукозаписывающих студий
- распространение кинофильмов и видеофильмов среди других отраслей, но не для широкой публики; включаются продажа или предоставление напрокат кинофильмов или видеокассет другим отраслям, а также деятельность, имеющая отношение к распространению кинофильмов и видеокассет, такая как заключение контрактов на прокат фильмов, доставка, хранение и т. п.
- продажа и приобретение прав на распространение кино- и видеофильмов","Эта подгруппа не включает:
- тиражирование фильмов (кроме тиражирования художественных кинофильмов для демонстрации в кинотеатрах), а также тиражирование аудио- и видеозаписей, компакт-дисков и цифровых видеодисков (DVD) с мастер-дисков, см. 2230
- розничную торговлю кассетами, см. группы 521, 523, 525
- оптовую торговлю чистыми видеокассетами, см. 5152
- оптовую торговлю видеокассетами с записью, см. 5139
- предоставление напрокат видеокассет населению, см. 7130
- обработку пленок, кроме обработки кинопленок для кинематографии, см. 7494
- деятельность самостоятельных театральных или художественных агентов или агентств, см. 7499
- деятельность самостоятельных актеров, мультипликаторов, режиссеров, художников-декораторов и технических специалистов, см. 9214"
5000,"921","Деятельность в областях кино, радио и телевидения и прочих видов отдыха и развлечений",,
4990,"92","Деятельность в области организации отдыха и развлечений, культуры и спорта","Этот подраздел включает функционирование сооружений и предоставление услуг потребителям в области культуры, развлечений, отдыха и спорта. Включены организация живых представлений, мероприятий или выставок, предназначенных для осмотра публикой, их реклама и обеспечение участия в них, предоставление артистического, художественного или технического персонала для создания художественных произведений и организации живых представлений, сохранение и предоставление для осмотра и посещения объектов и мест, имеющих историческую, культурную или образовательную ценность, а также обеспечение функционирования структур и предоставление услуг, позволяющих потребителям участвовать в спортивной и развлекательной деятельности, или заниматься любимыми увлечениями, развивать интересы и с пользой проводить свободное время.",
4980,"9199","Деятельность прочих членских организаций, не включенных в другие категории","Эта подгруппа включает:
- деятельность организаций, непосредственно не связанных с какой-либо политической партией, участвующих в борьбе за общее дело такими средствами, как просвещение широкой общественности, политические акции, сбор средств и т. п.:
* гражданские инициативы или движения протеста
* движения в защиту окружающей среды и экологии
* организации, выступающие в поддержку развития общин и расширения возможностей образования, не включенные в другие категории
* организации, занимающиеся защитой и улучшением положения особых групп населения, то есть этнических групп и групп меньшинств 
* патриотические ассоциации, включая ассоциации ветеранов войны
- организации по интересам, такие как туристические клубы, ассоциации автомобилистов и потребительские объединения
- объединения, способствующие установлению социальных контактов, такие как клубы деловых людей, ложи и т. п.
- молодежные ассоциации, ассоциации молодых людей, ассоциации студентов, клубы и общины и т. п.
- ассоциации, занимающиеся организацией культурных мероприятий и досуга, или ассоциации по интересам (кроме спорта или игр), например поэтические, литературные клубы, клубы книголюбов, ассоциации любителей истории, садоводства, клубы кино- и фотолюбителей, любителей музыки и искусств, любителей ремесленных искусств и клубы коллекционеров, общественные клубы, карнавальные клубы и т. п.
- создание ассоциаций защиты животных","Эта подгруппа не включает:
- деятельность профессиональных ассоциаций, см. 9112"
4970,"9192","Деятельность политических организаций","Эта подгруппа включает:
- деятельность политических организаций и вспомогательных организаций, таких как организации молодежи, ассоциированные с политической партией. Эти организации главным образом оказывают влияние на принятие решений государственными органами путем размещения членов партии и сочувствующих партии лиц на руководящих постах; круг их деятельности может включать распространение информации, связи с общественностью, сбор средств и т. п.",
4960,"9191","Деятельность религиозных организаций","Эта подгруппа включает:
- деятельность религиозных организаций или отдельных лиц, которые предоставляют услуги непосредственно прихожанам церквей, мечетей, храмов, синагог и других мест
- деятельность по оказанию услуг мужским и женским монастырям 
- религиозную деятельность, связанную с отшельничеством

Эта подгруппа также включает: 
- деятельность, связанную с религиозными погребальными обрядами","Эта подгруппа не включает:
- образование, предоставляемое этими организациями, см. подраздел 80
- деятельность в области здравоохранения, осуществляемую этими организациями, см. группу 851
- социальную деятельность этих организаций, см. группу 853"
4950,"919","Деятельность прочих членских организаций",,
4940,"9120","Деятельность профсоюзов","Эта подгруппа включает:
- деятельность ассоциаций, членами которых в основном являются лица наемного труда, заинтересованные главным образом в том, чтобы были представлены их позиции по вопросам заработной платы и положения в области труда, а также в согласованных действиях через организацию
- деятельность союзов одного предприятия или союзов, в состав которых входят филиалы, и трудовых организаций, состоящих из филиалов союзов, объединенных по отраслевому, региональному, организационному принципу или на основе других критериев","Эта подгруппа не включает:
- образование, предоставляемое этими организациями, см. подраздел 80"
4930,"912","Деятельность профсоюзов",,
4920,"9112","Деятельность профессиональных организаций","Эта подгруппа включает:
- деятельность организаций, интересы членов которых в основном сосредоточиваются на конкретной отрасли знаний или отрасли профессиональной практической деятельности или в технической области
- ассоциации специалистов, осуществляющих деятельность в области прикладных и теоретических наук или в области культуры, такие как ассоциации писателей, художников, актеров различных амплуа, журналистов и т. п.
- распространение информации, разработку норм практической деятельности и контроль за их соблюдением, представительство в отношениях с государственными учреждениями, связи с общественностью

Эта подгруппа также включает:
- деятельность научных обществ","Эта подгруппа не включает:
- образование, предоставляемое этими организациями, см. подраздел 80"
4910,"9111","Деятельность коммерческих и предпринимательских организаций","Эта подгруппа включает:
- деятельность организаций, интересы членов которых сосредоточиваются на развитии и процветании конкретного направления коммерческой или торговой деятельности, в том числе в области сельского хозяйства, экономического роста и создания условий для развития конкретного географического района или административной единицы, независимо от направления коммерческой деятельности.
- деятельность федераций подобных ассоциаций
- деятельность торговых палат, гильдий и аналогичных организаций
- распространение информации, представительство в отношениях с государственными учреждениями, связи с общественностью и переговоры по вопросам труда","Эта подгруппа не включает:
- деятельность профессиональных союзов, см. 9120"
